Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,Month,Year,Day,Day_of_Week,Age_Range,Total_Spend,Total_Purchase
Graduation,Married,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,CA,90765.0,Jan,2014,24,Fri,50-59,1724,15
Graduation,Married,0,0,25,507,93,520,242,40,26,1,5,10,5,1,0,0,0,1,0,1,0,AUS,80589.0,Jan,2014,22,Wed,70-79,1428,21
Master,Married,1,1,25,35,1,16,0,1,1,2,2,0,3,7,0,0,0,0,0,0,0,CA,49572.0,Dec,2013,15,Sun,60-69,54,7
Graduation,Together,0,0,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0,0,SP,75437.0,Nov,2013,9,Sat,40-49,1493,23
Master,Divorced,1,1,25,56,0,9,0,0,3,2,2,0,3,7,0,0,0,0,0,0,0,SP,44635.0,Oct,2013,11,Fri,50-59,68,7
Graduation,Married,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,GER,58512.0,Sep,2013,19,Thur,50-59,1171,20
PhD,Single,0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,SP,62000.0,Aug,2013,25,Sun,80-89,1020,26
Graduation,Single,1,1,25,178,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,0,AUS,54252.0,May,2013,28,Tue,60-69,264,15
PhD,Together,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,SP,45068.0,May,2013,16,Thur,40-49,20,4
Graduation,Single,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,IND,60474.0,Apr,2013,1,Mon,40-49,1180,31
Graduation,Single,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,CA,60474.0,Apr,2013,1,Mon,40-49,1180,31
2n Cycle,Married,1,1,25,349,16,144,28,5,182,5,8,5,4,8,1,0,0,1,0,1,0,SP,56337.0,Mar,2013,27,Wed,40-49,724,22
Graduation,Together,1,0,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0,0,0,0,0,SP,22434.0,Feb,2013,13,Wed,30-39,58,7
Graduation,Together,0,0,25,848,154,323,201,61,78,1,10,3,10,6,1,0,0,0,0,0,0,US,61416.0,Feb,2013,8,Fri,80-89,1665,24
Master,Married,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,1,0,SP,92163.0,Dec,2012,12,Wed,40-49,2086,21
Master,Together,0,1,25,962,12,194,16,24,12,4,7,8,13,6,0,0,1,0,0,0,0,SP,58656.0,Sep,2012,20,Thur,60-69,1220,32
2n Cycle,Married,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,GER,52247.25135379061,Sep,2012,14,Fri,40-49,109,9
Basic,Single,1,0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,SP,8940.0,Aug,2012,22,Wed,30-39,101,10
Graduation,Married,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,SP,26751.0,May,2014,22,Thur,40-49,11,4
Graduation,Married,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,US,71427.0,Mar,2014,12,Wed,40-49,614,20
Graduation,Together,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,US,26646.0,Feb,2014,10,Mon,30-39,53,8
Graduation,Divorced,1,0,26,2,0,9,3,6,2,1,1,0,3,8,0,0,0,0,0,0,0,CA,19346.0,Jan,2014,30,Thur,40-49,22,5
Graduation,Single,1,2,26,347,0,35,4,3,7,6,4,2,8,5,0,0,0,0,0,0,0,US,56243.0,Dec,2013,30,Mon,40-49,396,20
PhD,Married,0,1,26,73,0,13,0,1,0,1,2,1,3,3,0,0,0,0,0,0,0,CA,59892.0,Nov,2013,2,Sat,50-59,87,7
Graduation,Together,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,US,71613.0,Aug,2013,21,Wed,50-59,776,21
Graduation,Married,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,AUS,25252.0,Jul,2013,12,Fri,30-39,18,4
Graduation,Single,1,1,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,1,0,SP,42160.0,Jun,2013,28,Fri,40-49,140,11
Basic,Single,1,0,26,1,1,4,11,9,10,1,1,0,3,8,0,0,0,0,0,0,0,SP,15862.0,Jun,2013,27,Thur,40-49,36,5
Master,Married,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,0,SP,82584.0,Jun,2013,4,Tue,40-49,1435,16
Graduation,Married,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,AUS,38360.0,May,2013,31,Fri,30-39,131,9
PhD,Married,1,2,26,733,9,180,12,19,66,11,6,3,5,4,0,0,0,0,0,0,0,SA,75283.0,Mar,2013,27,Wed,60-69,1019,25
Master,Together,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,AUS,34941.0,Mar,2013,6,Wed,60-69,97,8
Graduation,Single,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,AUS,61823.0,Feb,2013,18,Mon,80-89,884,24
Master,Married,0,0,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,0,SA,90226.0,Sep,2012,26,Wed,60-69,2352,24
Graduation,Married,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,SP,44989.0,Sep,2012,12,Wed,40-49,369,16
Graduation,Married,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,SP,44989.0,Sep,2012,12,Wed,40-49,369,16
Graduation,Married,0,1,26,99,2,11,4,0,16,3,3,0,4,8,0,0,0,0,0,0,0,GER,43586.0,Aug,2012,30,Thur,40-49,132,10
Graduation,Single,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,1,0,SP,32233.0,Aug,2012,19,Sun,40-49,296,12
Graduation,Together,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,AUS,62882.0,Aug,2012,9,Thur,50-59,1338,20
Master,Together,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,CA,57288.0,Jun,2014,25,Wed,50-59,608,20
2n Cycle,Together,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SA,75774.0,May,2014,2,Fri,40-49,823,21
2n Cycle,Together,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SP,75774.0,May,2014,2,Fri,40-49,823,21
Master,Single,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,1,0,US,90247.0,Apr,2014,29,Tue,30-39,1621,15
2n Cycle,Single,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,1,0,SP,32218.0,Feb,2014,15,Sat,60-69,93,7
Graduation,Married,0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,SA,84219.0,Feb,2014,2,Sun,30-39,1198,18
Graduation,Married,0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,CA,84219.0,Feb,2014,2,Sun,30-39,1198,18
Graduation,Divorced,0,1,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0,SP,48877.0,Jan,2014,5,Sun,50-59,144,8
Graduation,Together,0,1,27,208,17,76,36,17,38,2,3,3,7,2,0,0,0,0,0,0,0,US,60905.0,Dec,2013,5,Thur,70-79,392,15
Graduation,Married,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,SP,75236.0,Nov,2013,25,Mon,50-59,1068,25
Graduation,Divorced,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,IND,62551.0,Nov,2013,18,Mon,60-69,421,18
PhD,Together,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,IND,70123.0,Sep,2013,28,Sat,30-39,1727,17
Graduation,Single,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,CA,50785.0,Sep,2013,10,Tue,80-89,114,8
2n Cycle,Married,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,SP,15315.0,Aug,2013,3,Sat,50-59,64,8
2n Cycle,Married,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,SP,15315.0,Aug,2013,3,Sat,50-59,64,8
PhD,Together,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,SP,64413.0,Aug,2013,1,Thur,50-59,279,12
PhD,Married,0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,SP,87171.0,May,2013,1,Wed,40-49,1298,25
Graduation,Single,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,SP,30081.0,Feb,2013,21,Thur,60-69,42,5
Graduation,Single,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,SP,20180.0,Feb,2013,20,Wed,40-49,137,8
Graduation,Single,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,SP,20180.0,Feb,2013,20,Wed,40-49,137,8
Graduation,Divorced,0,1,27,673,0,199,37,47,26,2,6,3,5,4,1,0,0,0,0,0,0,SP,55686.0,Feb,2013,14,Thur,50-59,982,16
2n Cycle,Married,0,1,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,0,SP,26887.0,Feb,2013,10,Sun,60-69,30,5
PhD,Married,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,1,0,SP,61996.0,Jan,2013,31,Thur,40-49,1230,21
Graduation,Divorced,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,SA,51537.0,Dec,2012,9,Sun,80-89,1103,18
Graduation,Together,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,SP,72025.0,Nov,2012,17,Sat,80-89,1932,16
Master,Together,1,0,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,0,SP,30538.0,Oct,2012,1,Mon,50-59,367,17
2n Cycle,Single,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,IND,61618.0,Sep,2012,29,Sat,30-39,1345,19
Graduation,Married,0,0,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0,0,CA,77343.0,Jun,2014,9,Mon,50-59,1134,17
Graduation,Married,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,SP,75433.0,Apr,2014,5,Sat,30-39,1188,19
PhD,Widow,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,SP,82571.0,Apr,2014,2,Wed,80-89,1686,24
Master,Together,0,1,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,SP,60033.0,Mar,2014,29,Sat,60-69,198,10
Graduation,Single,1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,0,SP,39062.0,Mar,2014,25,Tue,30-39,44,5
Graduation,Married,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,SP,30023.0,Mar,2014,24,Mon,80-89,61,6
Graduation,Single,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,SP,30015.0,Feb,2014,2,Sun,50-59,57,7
Graduation,Married,1,0,28,22,2,31,7,4,5,1,2,0,3,7,0,0,0,0,0,0,0,SP,33228.0,Jan,2014,23,Thur,40-49,71,6
Graduation,Married,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,SP,22574.0,Oct,2013,28,Mon,50-59,37,7
Graduation,Married,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,SP,22574.0,Oct,2013,28,Mon,50-59,37,7
Graduation,Married,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,0,CA,55267.0,Oct,2013,21,Mon,60-69,405,17
Graduation,Together,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,SP,66886.0,Sep,2013,16,Mon,60-69,599,17
Graduation,Single,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,CA,72258.0,Sep,2013,12,Thur,50-59,1525,22
PhD,Single,0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,1,0,SP,82733.0,Sep,2013,10,Tue,30-39,1323,20
Graduation,Divorced,1,1,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,0,IND,45146.0,Jul,2013,15,Mon,50-59,53,6
2n Cycle,Single,1,0,28,342,32,230,34,32,40,5,10,5,4,9,1,0,0,0,0,0,0,SA,51250.0,Mar,2013,30,Sat,30-39,710,24
Graduation,Married,1,1,28,22,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,0,US,32871.0,Mar,2013,9,Sat,70-79,43,5
2n Cycle,Together,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,GER,63855.0,Feb,2013,9,Sat,40-49,1006,24
PhD,Divorced,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,1,0,CA,42564.0,Jan,2013,2,Wed,50-59,813,24
2n Cycle,Together,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,CA,46344.0,Dec,2012,14,Fri,80-89,429,17
Graduation,Married,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,SP,50437.0,Oct,2012,17,Wed,50-59,490,19
Graduation,Together,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,1,0,SP,70971.0,Sep,2012,21,Fri,60-69,1825,34
Graduation,Single,2,0,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,SP,37774.0,Sep,2012,3,Mon,40-49,473,16
PhD,Married,1,1,29,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,0,SP,4023.0,Jun,2014,23,Mon,50-59,9,15
Graduation,Single,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,SP,33279.0,Jun,2014,12,Thur,50-59,16,4
Graduation,Married,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,SP,42693.0,Jun,2014,7,Sat,40-49,57,5
Master,Together,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,AUS,70545.0,Jun,2014,3,Tue,80-89,334,13
Graduation,Widow,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,AUS,65486.0,May,2014,12,Mon,60-69,507,17
Master,Together,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,SA,77882.0,Apr,2014,30,Wed,40-49,818,12
Graduation,Together,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,US,78468.0,Apr,2014,9,Wed,60-69,1004,28
Graduation,Together,0,1,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0,SP,77226.0,Feb,2014,28,Fri,50-59,1138,28
Master,Single,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,SP,90638.0,Feb,2014,13,Thur,30-39,2525,18
Master,Single,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,SA,90638.0,Feb,2014,13,Thur,30-39,2525,18
Graduation,Together,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,AUS,70666.0,Dec,2013,6,Fri,70-79,1076,16
2n Cycle,Divorced,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,SA,59052.0,Nov,2013,17,Sun,60-69,491,18
Basic,Together,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,US,13084.0,Nov,2013,2,Sat,80-89,29,5
Graduation,Divorced,0,1,29,122,21,43,25,10,15,2,3,1,6,6,0,0,0,0,0,0,0,SP,49160.0,Oct,2013,20,Sun,70-79,236,12
Graduation,Divorced,0,0,29,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,SP,23272.0,Oct,2013,17,Thur,60-69,46,5
Master,Divorced,0,1,29,386,23,95,54,41,196,4,2,11,5,2,0,0,0,0,0,0,0,CA,49476.0,Jun,2013,20,Thur,50-59,795,22
Master,Married,1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,0,SP,62694.0,Jun,2013,17,Mon,50-59,749,24
PhD,Together,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,IND,57906.0,Jun,2013,11,Tue,40-49,401,17
Graduation,Together,0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,SP,71853.0,May,2013,8,Wed,80-89,1149,17
Graduation,Together,0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,SP,71853.0,May,2013,8,Wed,80-89,1149,17
Graduation,Married,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,GER,65031.0,Mar,2013,17,Sun,60-69,863,30
Graduation,Together,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,SP,30507.0,Mar,2013,11,Mon,60-69,343,11
Graduation,Together,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,0,CA,67419.0,Jan,2013,16,Wed,50-59,1471,25
Graduation,Married,0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,0,US,59462.0,Jan,2013,5,Sat,70-79,1088,25
Graduation,Single,0,0,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,1,0,SA,95529.0,Dec,2012,3,Mon,20-29,1990,18
Graduation,Widow,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,SP,53653.0,Nov,2012,7,Wed,60-69,1210,28
Basic,Married,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,SP,25965.0,Sep,2012,7,Fri,40-49,74,6
Graduation,Married,1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,1,0,SP,22979.0,Sep,2012,6,Thur,50-59,115,10
PhD,Single,0,1,29,819,0,72,12,0,63,2,11,2,10,7,0,1,0,0,0,0,0,SA,64950.0,Aug,2012,12,Sun,70-79,966,25
Graduation,Married,1,0,30,46,0,40,3,0,3,2,3,0,3,8,0,0,0,0,0,0,0,SA,44322.0,Jun,2014,16,Mon,30-39,92,8
Graduation,Married,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,GER,30096.0,May,2014,22,Thur,30-39,45,6
Graduation,Married,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,SP,30096.0,May,2014,22,Thur,30-39,45,6
Graduation,Single,0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,CA,56628.0,Mar,2014,21,Fri,40-49,761,20
2n Cycle,Together,0,0,30,938,142,754,159,81,183,1,5,10,6,2,0,1,1,1,0,1,0,SP,82326.0,Mar,2014,10,Mon,40-49,2257,22
Graduation,Single,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,GER,71163.0,Mar,2014,9,Sun,20-29,960,24
Graduation,Divorced,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,US,71022.0,Feb,2014,11,Tue,40-49,1453,21
2n Cycle,Single,0,1,30,156,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,SA,42607.0,Nov,2013,17,Sun,60-69,350,14
Graduation,Married,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,SP,43057.0,Oct,2013,30,Wed,40-49,266,15
Master,Married,0,1,30,123,1,26,2,0,72,2,3,2,3,7,1,0,0,0,0,0,0,SP,47808.0,Oct,2013,20,Sun,40-49,224,10
Graduation,Single,1,0,30,37,4,24,16,9,9,2,4,0,3,9,0,0,0,0,0,0,0,SP,29236.0,Oct,2013,8,Tue,30-39,99,9
Graduation,Widow,1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,0,CA,40590.0,Oct,2013,2,Wed,50-59,258,15
Graduation,Widow,1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,0,CA,40590.0,Oct,2013,2,Wed,50-59,258,15
Master,Married,0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,1,0,SP,77520.0,Aug,2013,28,Wed,60-69,1526,23
Graduation,Married,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,SP,40211.0,Jul,2013,30,Tue,40-49,87,7
PhD,Together,1,1,30,141,11,114,15,14,5,4,4,1,7,5,0,0,0,0,0,0,0,CA,63516.0,Jul,2013,6,Sat,40-49,300,16
Graduation,Divorced,1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,0,US,53034.0,May,2013,30,Thur,40-49,447,22
Master,Together,1,0,30,16,14,36,37,22,48,3,4,1,2,9,0,0,0,0,0,1,0,SP,22669.0,May,2013,22,Wed,40-49,173,10
Graduation,Married,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,SP,79908.0,Apr,2013,5,Fri,80-89,1772,19
PhD,Single,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,1,0,SA,69867.0,Apr,2013,2,Tue,30-39,925,17
Graduation,Divorced,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,0,AUS,70287.0,Apr,2013,2,Tue,50-59,1093,21
Graduation,Single,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,SA,37070.0,Mar,2013,20,Wed,50-59,433,23
Graduation,Single,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,SP,37070.0,Mar,2013,20,Wed,50-59,433,23
Master,Married,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,SA,38179.0,Mar,2013,14,Thur,50-59,90,11
Graduation,Married,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,IND,39922.0,Feb,2013,14,Thur,30-39,156,9
Graduation,Married,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,GER,39922.0,Feb,2013,14,Thur,30-39,156,9
Graduation,Married,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,SA,39922.0,Feb,2013,14,Thur,30-39,156,9
Master,Single,0,1,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,SP,64191.0,Jan,2013,22,Tue,50-59,825,24
2n Cycle,Single,1,1,30,8,4,12,15,4,29,2,1,1,2,4,0,0,0,0,0,0,0,AUS,41658.0,Nov,2012,9,Fri,40-49,72,6
Graduation,Divorced,0,1,30,229,27,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,0,CA,40780.0,Sep,2012,8,Sat,40-49,377,17
Graduation,Together,0,1,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,0,SP,77568.0,Aug,2012,25,Sat,40-49,2194,21
Graduation,Single,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,SP,66503.0,Aug,2012,14,Tue,30-39,401,15
Graduation,Married,0,0,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,1,0,SP,83512.0,Jun,2014,17,Tue,30-39,2157,22
PhD,Married,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,SA,31686.0,Jun,2014,5,Thur,50-59,17,6
Graduation,Together,0,1,31,121,24,124,24,15,42,1,4,1,7,2,0,0,0,0,0,0,0,AUS,71322.0,May,2014,2,Fri,40-49,350,13
Graduation,Single,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,AUS,27938.0,Apr,2014,28,Mon,30-39,29,6
Graduation,Divorced,1,1,31,17,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,0,1,SP,22263.0,Mar,2014,30,Sun,70-79,21,6
Graduation,Together,2,1,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0,0,SA,34633.0,Jan,2014,23,Thur,60-69,15,4
Graduation,Together,1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,1,0,SP,42162.0,Nov,2013,19,Tue,40-49,145,9
PhD,Together,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,SP,162397.0,Jun,2013,3,Mon,40-49,107,1
Graduation,Widow,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,SP,54162.0,Mar,2013,18,Mon,40-49,42,5
2n Cycle,Divorced,0,1,31,302,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0,IND,41769.0,Feb,2013,13,Wed,60-69,521,22
PhD,Together,0,0,31,728,17,133,11,8,124,1,7,3,13,6,1,0,0,0,0,0,0,GER,44953.0,Dec,2012,21,Fri,40-49,1021,24
PhD,Married,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,SA,37717.0,Nov,2012,23,Fri,40-49,25,4
PhD,Married,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,SP,37717.0,Nov,2012,23,Fri,40-49,25,4
Graduation,Together,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,AUS,40548.0,Oct,2012,10,Wed,50-59,120,9
2n Cycle,Divorced,0,1,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,0,SA,67893.0,Oct,2012,1,Mon,40-49,995,16
Graduation,Single,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,0,SA,69267.0,Sep,2012,22,Sat,60-69,1635,14
Basic,Divorced,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,CA,9548.0,Aug,2012,8,Wed,40-49,29,6
Graduation,Single,0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,1,0,SP,68281.0,Aug,2012,7,Tue,60-69,1655,25
2n Cycle,Together,0,0,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,SP,92556.0,Apr,2014,20,Sun,60-69,1263,21
Graduation,Single,1,0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0,SP,48526.0,Dec,2013,24,Tue,40-49,135,8
Graduation,Single,0,0,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,1,0,SP,90273.0,Dec,2013,14,Sat,30-39,1991,19
2n Cycle,Together,1,0,32,2,3,12,3,5,7,1,1,0,3,8,0,0,0,0,0,0,0,CA,19414.0,Oct,2013,16,Wed,40-49,32,5
PhD,Single,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,SA,79761.0,Oct,2013,4,Fri,60-69,605,19
